,0
1850,215
1851,233
1852,237
1853,230
1854,140
1855,178
1856,249
1857,257
1858,235
1859,223
1860,169
1861,202
1862,191
1863,169
1864,159
1865,134
1866,144
1867,366
1868,513
1869,423
1870,428
1871,489
1872,494
1873,546
1874,427
1875,441
1876,451
1877,395
1878,486
1879,504
1880,784
1881,922
1882,479
1883,1141
1884,1345
1885,1427
1886,1463
1887,1468
1888,1219
1889,1558
1890,1093
1891,946
1892,1420
1893,1694
1894,1177
1895,1543
1896,1858
1897,1906
1898,1877
1899,1584
1900,1552
1901,1737
1902,1777
1903,2002
1904,1952
1905,2168
1906,2121
1907,2110
1908,2746
1909,3009
1910,3066
1911,3385
1912,3364
1913,3588
1914,3583
1915,3378
1916,3186
1917,2943
1918,2909
1919,3141
1920,3350
1921,3381
1922,3524
1923,3813
1924,4212
1925,4445
1926,4746
1927,5347
1928,4974
1929,5062
1930,4956
1931,4880
1932,5066
1933,5072
1934,5040
1935,5142
1936,4876
1937,4850
1938,5301
1939,5098
1940,4572
1941,4383
1942,4311
1943,4238
1944,4446
1945,20242
1946,53833
1947,64792
1948,70471
1949,62516
1950,85581
1951,103643
1952,107964
1953,108699
1954,105649
1955,108492
1956,106997
1957,111474
1958,109456
1959,109971
1960,112118
1961,120048
1962,125569
1963,141296
1964,161882
1965,176545
1966,179784
1967,191672
1968,207687
1969,214877
1970,219075
1971,223053
1972,227222
1973,230665
1974,234561
1975,248288
1976,254275
1977,261172
1978,271569
1979,280812
1980,279410
1981,282144
1982,294190
1983,308097
1984,317069
1985,333895
1986,347997
1987,365898
1988,384199
1989,400722
1990,408491
1991,410032
1992,415582
1993,423951
1994,435071
1995,446283
1996,455944
1997,453339
1998,470862
1999,490582
2000,529883
2001,544373
2002,561981
2003,591915
2004,636850
2005,697386
2006,743588
2007,781695
2008,830666
2009,870799
2010,934058
2011,1008408
2012,1070389
2013,1126139
2014,777721
